id,funded_amount,loan_amount,activity,sector,use,country_code,country,region,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,repayment_interval,date,gender
799745,600.0,600.0,Personal Housing Expenses,Housing,"to buy sheet metal, wood, and nails to replace the roof of his house that is in such bad condition for the coming rainy season.",SV,El Salvador,Osicala,USD,199.0,2014-11-17 16:34:35+00:00,2014-11-10 08:00:00+00:00,2015-01-08 22:44:47+00:00,20.0,21,"#Parent, user_favorite, user_favorite",monthly,2014-11-17,male
743449,175.0,175.0,Home Appliances,Personal Use, to purchase a smokeless stove,IN,India,"Tanjore, Tamil Nadu",INR,347.0,2014-07-23 04:53:00+00:00,2014-10-18 07:00:00+00:00,2014-07-29 17:19:12+00:00,43.0,7,,bullet,2014-07-23,female
1041301,425.0,425.0,Livestock,Agriculture,"to buy and raise livestock with her husband, with the goal of selling it in the future.",SV,El Salvador,San Miguel,USD,199.0,2016-03-19 16:28:53+00:00,2016-03-09 08:00:00+00:00,2016-03-28 14:15:42+00:00,14.0,16,#Animals,monthly,2016-03-19,female
1165332,200.0,200.0,Embroidery,Arts,to buy raw material for her embroidery business.,PK,Pakistan,Multan,PKR,247.0,2016-10-10 12:14:35+00:00,2016-09-23 07:00:00+00:00,2016-10-16 20:36:59+00:00,14.0,8,"#Parent, #Woman Owned Biz, #Fabrics, user_favorite",monthly,2016-10-10,female
735738,300.0,300.0,Personal Housing Expenses,Housing,"To buy bricks, cement, gravel and sand to construct walls for her home.",SV,El Salvador,,USD,81.0,2014-07-07 22:45:24+00:00,2014-06-09 07:00:00+00:00,2014-08-12 18:56:50+00:00,14.0,9,"volunteer_like, #Supporting Family",monthly,2014-07-07,female
874349,450.0,450.0,Personal Housing Expenses,Housing,to build a private toilet,KH,Cambodia,"Kampong Thom Province, Stoung District",KHR,204.0,2015-04-23 03:53:54+00:00,2015-03-24 07:00:00+00:00,2015-04-30 05:10:36+00:00,14.0,13,"user_favorite, user_favorite",monthly,2015-04-23,female
1192275,400.0,400.0,Tailoring,Services,"to purchase cloth stitching inputs like fabrics, threads, zips and laces.",PK,Pakistan,Gujranwala,PKR,455.0,2016-11-24 10:26:49+00:00,2016-10-26 07:00:00+00:00,2016-12-28 19:51:31+00:00,14.0,12,"#Fabrics, #Woman Owned Biz",monthly,2016-11-24,female
1123400,500.0,500.0,Rickshaw,Transportation,to pay the installments on her son's new rickshaw for his transport business.,PK,Pakistan,Rawalpindi,PKR,247.0,2016-07-26 05:38:38+00:00,2016-07-18 07:00:00+00:00,2016-09-02 19:18:48+00:00,14.0,18,"#Biz Durable Asset, user_favorite, user_favorite",monthly,2016-07-26,female
990242,800.0,800.0,Farming,Agriculture,"to purchase farming supplies, pigs, and pay rent for the land where she will plant beans so she will have a more productive and strong business.",SV,El Salvador,,USD,167.0,2015-12-04 15:09:48+00:00,2015-11-16 08:00:00+00:00,2015-12-14 22:21:48+00:00,14.0,17,,irregular,2015-12-04,female
816272,125.0,125.0,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,KH,Cambodia,Prey Veng,KHR,311.0,2014-12-17 06:35:58+00:00,2014-12-04 08:00:00+00:00,2014-12-22 02:40:41+00:00,8.0,4,,monthly,2014-12-17,female
956623,175.0,250.0,Retail,Retail,"to buy meats, creams, cheese and skirts to continue and expand her sales activity.",SV,El Salvador,,USD,81.0,2015-10-01 16:25:57+00:00,2015-09-16 07:00:00+00:00,,14.0,3,"#Parent, #Woman Owned Biz",monthly,2015-10-01,female
679009,500.0,500.0,Clothing Sales,Clothing,To buy ladies' garments for resale. ,PK,Pakistan,Lahore,PKR,247.0,2014-03-04 08:11:42+00:00,2014-02-13 08:00:00+00:00,2014-03-12 14:35:02+00:00,11.0,17,"#Eco-friendly, #Woman Owned Biz",irregular,2014-03-04,female
1039234,175.0,175.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,KH,Cambodia,Kampong Speu,KHR,311.0,2016-03-16 05:32:47+00:00,2016-03-04 08:00:00+00:00,2016-03-28 16:24:38+00:00,8.0,4,"#Eco-friendly, #Health and Sanitation, #Technology",monthly,2016-03-16,female
1168692,100.0,100.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,KH,Cambodia,Battambang,KHR,311.0,2016-10-17 05:38:33+00:00,2016-10-05 07:00:00+00:00,2016-10-23 00:00:58+00:00,8.0,4,"#Health and Sanitation, #Eco-friendly, #Technology",monthly,2016-10-17,female
783599,500.0,500.0,Personal Medical Expenses,Health,to buy medicine,SV,El Salvador,El Transito,USD,199.0,2014-10-15 15:07:02+00:00,2014-10-10 07:00:00+00:00,2014-10-27 22:31:44+00:00,14.0,18,user_favorite,monthly,2014-10-15,male
1272039,125.0,125.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,KH,Cambodia,Takeo,KHR,311.0,2017-04-03 04:09:43+00:00,2017-03-22 07:00:00+00:00,2017-04-18 13:17:50+00:00,8.0,5,"#Eco-friendly, #Health and Sanitation, #Technology",monthly,2017-04-03,female
1015666,125.0,125.0,Home Appliances,Personal Use,to buy a water filter in order to provide safe drinking water for their family.,KH,Cambodia,Siem Reap,KHR,311.0,2016-01-29 03:32:51+00:00,2016-01-18 08:00:00+00:00,2016-01-31 19:27:11+00:00,8.0,5,,monthly,2016-01-29,female
1013538,600.0,600.0,Embroidery,Arts,"to purchase materials such as blankets, thread, needles and down to embroider blankets and buy women's clothes to sell.",SV,El Salvador,Gotera,USD,199.0,2016-01-25 15:51:10+00:00,2016-01-20 08:00:00+00:00,2016-02-01 04:03:18+00:00,14.0,22,"user_favorite, user_favorite",monthly,2016-01-25,female
977154,400.0,400.0,Fruits & Vegetables,Food,"to buy papayas, watermelon, mango, jocotes, melon, jicama, and other fruits at wholesale for her sales.",SV,El Salvador,,USD,81.0,2015-11-11 16:24:40+00:00,2015-10-14 07:00:00+00:00,2015-11-18 18:40:47+00:00,17.0,16,,monthly,2015-11-11,female
1100561,500.0,500.0,Recycling,Services,to buy scrap batteries for her recycling scrap battery business,PK,Pakistan,Multan,PKR,247.0,2016-06-16 06:40:04+00:00,2016-06-03 07:00:00+00:00,2016-07-18 13:18:13+00:00,14.0,19,"#Eco-friendly, #Parent, #Repeat Borrower",monthly,2016-06-16,female
861716,700.0,700.0,Fruits & Vegetables,Food,to buy more fruit to sell,SV,El Salvador,San Miguel,USD,199.0,2015-03-25 19:48:10+00:00,2015-03-12 07:00:00+00:00,2015-04-21 18:20:43+00:00,14.0,27,"#Elderly, #Repeat Borrower, #Vegan",bullet,2015-03-25,female
761127,700.0,700.0,Services,Services,"to buy shovels, pickaxes, saws, a polisher, a cart, etc.",SV,El Salvador,,USD,81.0,2014-08-27 22:07:29+00:00,2014-08-21 07:00:00+00:00,2014-10-03 09:36:58+00:00,14.0,24,"volunteer_pick, volunteer_like, #Biz Durable Asset, #Supporting Family",monthly,2014-08-27,male
951551,500.0,500.0,Farming,Agriculture,to buy fertilizers and other farming-related materials.,KH,Cambodia,Kampong Cham,USD,106.0,2015-09-22 08:23:14+00:00,2015-09-08 07:00:00+00:00,2015-09-24 08:54:41+00:00,12.0,18,,monthly,2015-09-22,female
1277008,600.0,600.0,Cattle,Agriculture,to purchase beef cattle. This will allow her to have good production to serve her customers and improve her income in order to cover her family's basic needs.,SV,El Salvador,,USD,167.0,2017-04-10 16:18:05+00:00,2017-03-14 07:00:00+00:00,2017-04-21 13:48:36+00:00,14.0,15,"#Animals, user_favorite",monthly,2017-04-10,female
785133,225.0,225.0,Agriculture,Agriculture, to purchase fertilizers and fertilize his corn crops.,SV,El Salvador,San Miguel,USD,199.0,2014-10-17 17:29:15+00:00,2014-09-22 07:00:00+00:00,2014-10-31 16:39:07+00:00,14.0,2,,bullet,2014-10-17,male
1129080,175.0,175.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,KH,Cambodia,Kampong Speu,KHR,311.0,2016-08-04 09:44:16+00:00,2016-07-14 07:00:00+00:00,2016-08-18 18:32:34+00:00,8.0,6,"#Technology, #Eco-friendly, #Health and Sanitation",monthly,2016-08-04,female
694803,250.0,250.0,Farming,Agriculture,to buy fertilizers for his farmland,KH,Cambodia,"Battambang province, Moung Russey district",KHR,204.0,2014-04-08 02:51:22+00:00,2014-03-17 07:00:00+00:00,2014-04-11 11:57:03+00:00,14.0,8,,monthly,2014-04-08,female
1097440,750.0,750.0,Food Production/Sales,Food,"to buy meat, vegetables, condiments, oil, etc, to prepare food to sell. She is also thinking of buying a stove to expedite her daily work.",SV,El Salvador,,USD,167.0,2016-06-09 21:03:27+00:00,2016-05-27 07:00:00+00:00,2016-07-12 00:02:09+00:00,18.0,25,"#Repeat Borrower, #Woman Owned Biz, user_favorite",monthly,2016-06-09,female
1075722,275.0,275.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,KH,Cambodia,Kampong Speu,KHR,311.0,2016-05-26 05:23:23+00:00,2016-05-16 07:00:00+00:00,2016-06-02 15:37:04+00:00,8.0,11,"#Eco-friendly, #Health and Sanitation, #Technology",monthly,2016-05-26,female
717760,325.0,325.0,Jewelry,Retail,to buy expensive artificial jewelry for her husband's jewelry shop.,PK,Pakistan,Lahore,PKR,247.0,2014-05-29 04:38:30+00:00,2014-05-22 07:00:00+00:00,2014-06-18 02:31:57+00:00,12.0,5,#Parent,irregular,2014-05-29,female
1138631,200.0,200.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,KH,Cambodia,Kampot,KHR,311.0,2016-08-24 07:38:05+00:00,2016-08-17 07:00:00+00:00,2016-09-03 04:27:32+00:00,8.0,5,"#Technology, #Eco-friendly, #Health and Sanitation",monthly,2016-08-24,male
695066,250.0,250.0,Dairy,Agriculture,To purchase a cow.,IN,India,Dhupguri,INR,334.0,2014-04-08 11:11:13+00:00,2014-03-19 07:00:00+00:00,2014-05-01 18:25:18+00:00,43.0,5,,bullet,2014-04-08,female
1301558,250.0,250.0,Manufacturing,Manufacturing,to buy raw materials for her husband to manufacture fancy lights.,PK,Pakistan,Rawalpindi,PKR,247.0,2017-05-19 04:16:03+00:00,2017-05-11 07:00:00+00:00,2017-05-26 12:50:01+00:00,14.0,6,"#Parent, user_favorite, #Unique",monthly,2017-05-19,female
749739,250.0,250.0,Services,Services,to purchase colors and other necessary tools for her husband's house painting business.,IN,India,Maynaguri,INR,334.0,2014-08-05 10:18:56+00:00,2014-07-16 07:00:00+00:00,2014-08-12 11:17:48+00:00,43.0,7,,bullet,2014-08-05,female
1281210,750.0,750.0,Water Distribution,Services,to purchase more empty water bottles for his business.,KH,Cambodia,Kompong Thom,KHR,499.0,2017-04-19 01:00:20+00:00,2017-04-07 07:00:00+00:00,2017-04-28 12:40:24+00:00,8.0,27,"user_favorite, user_favorite",monthly,2017-04-19,male
1006358,975.0,975.0,Education provider,Education,to construct rooms and to renovate the school.,PK,Pakistan,Ellahabad,PKR,245.0,2016-01-11 10:33:08+00:00,2015-12-17 08:00:00+00:00,2016-01-12 17:50:33+00:00,20.0,35,"user_favorite, #Female Education, #Interesting Photo, #Schooling",monthly,2016-01-11,female
655608,500.0,500.0,Personal Housing Expenses,Housing, to buy materials to construct a latrine.,KH,Cambodia,Pursat,KHR,106.0,2014-01-09 08:42:35+00:00,2013-12-11 08:00:00+00:00,2014-01-09 22:54:58+00:00,14.0,5,,monthly,2014-01-09,female
747825,300.0,300.0,Agriculture,Agriculture,to assist his crops with the necessary maintenance.,SV,El Salvador,El Transito,USD,199.0,2014-07-31 21:30:10+00:00,2014-07-28 07:00:00+00:00,2014-08-17 20:27:12+00:00,8.0,10,"volunteer_like, volunteer_pick, #Repeat Borrower, #Parent",bullet,2014-07-31,male
1019766,250.0,250.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.,KH,Cambodia,Kampot,KHR,311.0,2016-02-09 03:24:21+00:00,2016-01-29 08:00:00+00:00,2016-02-20 18:37:17+00:00,9.0,8,,irregular,2016-02-09,female
1019702,175.0,175.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.		,KH,Cambodia,Battambang,KHR,311.0,2016-02-09 02:46:55+00:00,2016-01-22 08:00:00+00:00,2016-02-18 14:44:52+00:00,8.0,6,user_favorite,monthly,2016-02-09,female
937952,100.0,100.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,KH,Cambodia,Kompong Thom,KHR,311.0,2015-08-25 03:57:40+00:00,2015-08-09 07:00:00+00:00,2015-08-28 00:56:35+00:00,8.0,4,,monthly,2015-08-25,female
1234600,225.0,225.0,Grocery Store,Food,her to expand her grocery store.,IN,India,Alirajpur,INR,428.0,2017-02-08 11:55:31+00:00,2017-01-11 08:00:00+00:00,2017-02-20 08:58:39+00:00,14.0,7,#Woman Owned Biz,monthly,2017-02-08,female
782388,500.0,500.0,Retail,Retail,"to invest in: eggs, rice, chicken, meat, tomatoes, fish, etc.",SV,El Salvador,,USD,81.0,2014-10-13 17:22:22+00:00,2014-09-30 07:00:00+00:00,2014-11-22 23:42:21+00:00,17.0,13,"#Elderly, #Interesting Photo, #Parent",monthly,2014-10-13,male
992487,500.0,700.0,Agriculture,Agriculture,"to buy fertilizer, manure, pest control, etc.",SV,El Salvador,,USD,81.0,2015-12-09 17:10:02+00:00,2015-12-05 08:00:00+00:00,,13.0,17,"#Trees, #Vegan",bullet,2015-12-09,male
711391,175.0,175.0,Natural Medicines,Health,to purchase Ayurveda medicines (medicine made from different medicinal herbs) to start a business.,IN,India,Maynaguri,INR,334.0,2014-05-17 09:56:09+00:00,2014-05-05 07:00:00+00:00,2014-06-01 18:48:55+00:00,43.0,2,,bullet,2014-05-17,female
922056,475.0,475.0,Personal Housing Expenses,Housing,to build a toilet and purchase necessary sanitary fittings for the same,IN,India,"Dhenkanal, Odisha",INR,241.0,2015-07-23 10:03:54+00:00,2015-06-28 07:00:00+00:00,2015-08-24 23:50:48+00:00,43.0,18,"#Health and Sanitation, #Parent, user_favorite",bullet,2015-07-23,female
1200574,300.0,300.0,Tailoring,Services,"to procure raw materials for her business like cloths, buttons, laces and threads.",PK,Pakistan,Gujranwala,PKR,455.0,2016-12-08 04:41:59+00:00,2016-11-10 08:00:00+00:00,2017-01-12 01:29:35+00:00,14.0,8,"#Fabrics, #Woman Owned Biz",monthly,2016-12-08,female
997150,250.0,250.0,Tailoring,Services,to buy a Juki sewing machine for providing tailoring services,PK,Pakistan,Lahore,PKR,247.0,2015-12-18 07:43:26+00:00,2015-12-14 19:00:00+00:00,2015-12-22 03:37:28+00:00,13.0,7,,monthly,2015-12-18,female
1108591,550.0,550.0,Home Energy,Personal Use,to buy a solar home power system to use in her house.,KH,Cambodia,"Kampong Spue province, Oral district",KHR,204.0,2016-06-29 08:06:20+00:00,2016-05-30 07:00:00+00:00,2016-07-06 15:23:25+00:00,14.0,15,"#Eco-friendly, #Technology, user_favorite, #Parent",monthly,2016-06-29,female
949583,500.0,500.0,General Store,Retail,"to buy packs of salts, biscuits, rice, spices, and juices to handle the increasing demands of her customers efficiently.",PK,Pakistan,Okara,PKR,245.0,2015-09-18 10:11:07+00:00,2015-08-29 07:00:00+00:00,2015-10-19 19:42:42+00:00,14.0,17,#Parent,monthly,2015-09-18,female
1220047,250.0,250.0,Tailoring,Services,"to buy a new sewing machine, yarn and fabrics for her  tailoring business to increase her income.",PK,Pakistan,Multan,PKR,247.0,2017-01-13 11:47:49+00:00,2016-12-15 08:00:00+00:00,2017-02-01 21:13:56+00:00,14.0,7,"#Parent, #Fabrics, #Biz Durable Asset",monthly,2017-01-13,female
1133681,550.0,550.0,General Store,Retail,"to buy additional grocery items including oil, milk, sugar, juices, etc.",PK,Pakistan,Haripur,PKR,245.0,2016-08-16 08:25:18+00:00,2016-07-27 07:00:00+00:00,2016-09-18 16:01:39+00:00,14.0,18,#First Loan,monthly,2016-08-16,female
1070295,300.0,300.0,Embroidery,Arts,"To purchase cloths, threads, laces and needles for embroidery business.",PK,Pakistan,Gujranwala,PKR,455.0,2016-05-17 12:04:55+00:00,2016-04-18 07:00:00+00:00,2016-05-22 05:30:33+00:00,14.0,12,"#Fabrics, user_favorite, #Parent, #Woman Owned Biz",monthly,2016-05-17,female
1150811,525.0,525.0,Farming,Agriculture,"To buy fertilizer, pesticide, pay for plowing fee and to spend for farmland’s cost.",KH,Cambodia,"Battambang province, Thmor Koul district",KHR,204.0,2016-09-15 07:39:35+00:00,2016-08-22 07:00:00+00:00,2016-09-17 15:20:30+00:00,14.0,20,,monthly,2016-09-15,female
731773,750.0,750.0,Food Production/Sales,Food,"to buy corn on the cob, lard, oil, firewood, and propane gas.",SV,El Salvador,"San Miguel, San Miguel",USD,167.0,2014-06-27 13:49:23+00:00,2014-06-05 07:00:00+00:00,2014-08-05 16:11:37+00:00,14.0,17,"volunteer_pick, user_favorite, #Parent, #Repeat Borrower, user_favorite",monthly,2014-06-27,male
722893,800.0,800.0,Clothing,Clothing,"purchase pants, skirts, shirts, dresses, underwear, children's clothing, etc...",SV,El Salvador,Ciudad El Triunfo,USD,199.0,2014-06-10 20:20:54+00:00,2014-06-05 07:00:00+00:00,2014-06-24 23:05:07+00:00,20.0,27,"user_favorite, user_favorite",monthly,2014-06-10,female
653796,700.0,700.0,General Store,Retail,"to buy eggs, cereal, snacks, oil, pasta, detergent, etc.",SV,El Salvador,,USD,81.0,2014-01-03 22:41:05+00:00,2013-12-13 08:00:00+00:00,2014-01-04 20:05:20+00:00,11.0,4,,monthly,2014-01-03,female
1009499,225.0,225.0,Clothing Sales,Clothing,to purchase different types of saris and other ladies garments for her existing clothing business.,IN,India,Khagrabari,INR,334.0,2016-01-18 06:00:32+00:00,2015-12-28 08:00:00+00:00,2016-01-19 20:00:07+00:00,43.0,2,,bullet,2016-01-18,female
970641,500.0,500.0,Higher education costs,Education,to cover her child's university expenses and to buy dressmaking materials.,SV,El Salvador,Gotera,USD,199.0,2015-10-28 22:22:21+00:00,2015-10-16 07:00:00+00:00,2015-11-10 20:31:50+00:00,20.0,18,"#Fabrics, #Schooling, #Parent",monthly,2015-10-28,female
1100096,400.0,400.0,Cattle,Agriculture,to purchase more cattle for reselling in the market,PK,Pakistan,Vehari,PKR,245.0,2016-06-15 10:12:24+00:00,2016-05-17 07:00:00+00:00,2016-07-13 16:49:55+00:00,14.0,11,"#Animals, #Parent, user_favorite",monthly,2016-06-15,female
873834,350.0,350.0,Animal Sales,Agriculture,to purchase another buffalo to expand her business and income level.,PK,Pakistan,Haripur,PKR,245.0,2015-04-22 11:54:57+00:00,2015-03-31 07:00:00+00:00,2015-04-28 17:04:24+00:00,14.0,7,,monthly,2015-04-22,female
879410,400.0,400.0,Butcher Shop,Food,to buy broiler chickens for her husband to sell in his chicken shop in the market.,PK,Pakistan,Lahore,PKR,247.0,2015-05-04 08:11:37+00:00,2015-04-06 07:00:00+00:00,2015-05-29 20:33:12+00:00,11.0,14,"#Animals, #First Loan, #Parent",irregular,2015-05-04,female
876440,600.0,600.0,Higher education costs,Education,to pay his first-year tuition fee,KH,Cambodia,Siem Reap Province,USD,9.0,2015-04-27 08:30:28+00:00,2015-04-08 07:00:00+00:00,2015-05-05 01:03:10+00:00,14.0,17,,monthly,2015-04-27,male
1314492,200.0,200.0,Jewelry,Retail,"to buy more necklaces, bangles, bracelets, and earrings so that she can expand her accessories business.",IN,India,Alirajpur,INR,428.0,2017-06-06 12:16:16+00:00,2017-05-08 07:00:00+00:00,2017-06-18 03:33:21+00:00,15.0,8,,monthly,2017-06-06,female
1100089,450.0,450.0,General Store,Retail,"to buy additional grocery items including oil, milk, sugar, and juices",PK,Pakistan,Pakpatan,PKR,245.0,2016-06-15 10:09:02+00:00,2016-06-09 07:00:00+00:00,2016-07-21 06:31:54+00:00,14.0,18,"#Woman Owned Biz, user_favorite, user_favorite, user_favorite, user_favorite",monthly,2016-06-15,female
881851,750.0,750.0,Farming,Agriculture,to pay a plowing fee,KH,Cambodia,"Mondulkiri province,  Keo Seima district",KHR,204.0,2015-05-08 06:10:56+00:00,2015-04-10 07:00:00+00:00,2015-06-08 07:36:49+00:00,14.0,23,"#Job Creator, #Parent, #Vegan",monthly,2015-05-08,female
866579,300.0,300.0,General Store,Retail,a loan helps Zarina to purchase merchandise for her general store. ,PK,Pakistan,Lahore,PKR,247.0,2015-04-07 04:50:00+00:00,2015-03-10 07:00:00+00:00,2015-04-18 03:00:46+00:00,12.0,9,"#First Loan, #Parent, #Woman Owned Biz",irregular,2015-04-07,female
1073795,450.0,450.0,Animal Sales,Agriculture,to purchase more baby goats and calves to cater to more customers.,PK,Pakistan,Lodhran,PKR,245.0,2016-05-23 10:51:44+00:00,2016-05-05 07:00:00+00:00,2016-06-23 17:45:42+00:00,14.0,17,"#Animals, user_favorite, #Parent",monthly,2016-05-23,female
1123524,200.0,500.0,Retail,Retail,to increase her crockery business.,PK,Pakistan,Rawalpindi,PKR,247.0,2016-07-26 07:35:45+00:00,2016-07-19 07:00:00+00:00,,14.0,8,"#Parent, #Woman Owned Biz, user_favorite",monthly,2016-07-26,female
1325568,0.0,500.0,Cloth & Dressmaking Supplies,Retail, to purchase good-quality cloth of different colors to earn substantial profits through this investment,PK,Pakistan,Abbottabad,PKR,245.0,2017-06-22 08:44:53+00:00,2017-06-19 07:00:00+00:00,,14.0,0,"#Fabrics, #Woman Owned Biz",monthly,2017-06-22,female
1134053,300.0,300.0,Grocery Store,Food,"to purchase biscuits, cakes, snacks in bulk for her store.",IN,India,Khurda,INR,428.0,2016-08-17 05:59:36+00:00,2016-07-30 07:00:00+00:00,2016-08-26 00:17:36+00:00,21.0,12,user_favorite,monthly,2016-08-17,female
834570,150.0,150.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family,KH,Cambodia,Kompong Thom,KHR,311.0,2015-01-30 07:41:09+00:00,2015-01-15 08:00:00+00:00,2015-01-31 19:32:05+00:00,8.0,5,,monthly,2015-01-30,female
1205679,175.0,175.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,KH,Cambodia,Kompong Thom,KHR,311.0,2016-12-19 05:47:54+00:00,2016-12-02 08:00:00+00:00,2016-12-22 16:09:38+00:00,8.0,7,"#Eco-friendly, #Health and Sanitation, #Technology",monthly,2016-12-19,female
1195372,200.0,200.0,Tailoring,Services,to buy a new professional sewing machine because her old machine performs very poorly.,PK,Pakistan,Lahore,PKR,247.0,2016-11-29 09:51:35+00:00,2016-11-21 08:00:00+00:00,2016-12-07 09:09:17+00:00,11.0,8,"#Fabrics, user_favorite",irregular,2016-11-29,female
762068,175.0,500.0,Personal Housing Expenses,Housing,"to purchase galvanized sheet metal, beams and fasteners to repair her home's roof. ",SV,El Salvador,,USD,81.0,2014-08-29 17:19:45+00:00,2014-08-28 07:00:00+00:00,,17.0,7,#Elderly,monthly,2014-08-29,female
1200199,800.0,800.0,Clothing Sales,Clothing,"to buy women's trousers, five dozen blouses, children's suits, three dozens pairs of men's trousers and three dozen shirts so he can continue selling.",SV,El Salvador,Anamoros,USD,199.0,2016-12-07 14:53:36+00:00,2016-12-03 08:00:00+00:00,2016-12-07 16:46:42+00:00,5.0,12,user_favorite,irregular,2016-12-07,male
981239,175.0,175.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,KH,Cambodia,Phnom Penh,KHR,311.0,2015-11-19 06:39:29+00:00,2015-11-10 08:00:00+00:00,2015-11-23 23:49:13+00:00,8.0,5,"#Eco-friendly, #Health and Sanitation",monthly,2015-11-19,female
931705,700.0,700.0,Personal Housing Expenses,Housing,to build a new toilet and install a commode in it,IN,India,"Choudhwar, Odisha",INR,241.0,2015-08-13 07:19:27+00:00,2015-08-04 07:00:00+00:00,2015-09-09 18:59:54+00:00,43.0,22,"#Fabrics, #Health and Sanitation, #Parent, user_favorite",bullet,2015-08-13,female
1229858,250.0,250.0,Crafts,Arts,"to buy supplies such as clay, paints and glitter in different colors for her handicrafts business.",PK,Pakistan,Multan,PKR,247.0,2017-01-31 10:10:54+00:00,2017-01-27 08:00:00+00:00,2017-02-02 03:09:14+00:00,15.0,8,,monthly,2017-01-31,female
1207587,100.0,100.0,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,KH,Cambodia,Phnom Penh,KHR,311.0,2016-12-21 04:27:52+00:00,2016-12-11 08:00:00+00:00,2016-12-24 14:23:42+00:00,8.0,1,"#Eco-friendly, #Health and Sanitation, #Technology",monthly,2016-12-21,female
